engine,sync,kernel,threads,rows,cols,cells,gens_per_run,reps,gens_per_s_median,gens_per_s_min,gens_per_s_max,cell_updates_per_s,lat_samples,lat_mean_ns,lat_p50_ns,lat_p90_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,timer_tick_ns,resolution_limited
serial/scalar,serial,scalar,1,24,24,576,112010,5,1.11872e+06,1.1121e+06,1.11961e+06,6.4438e+08,3800,911.743,916,917,1041,5916,16458,41,0
serial/bitslice,serial,bitslice,1,24,24,576,674415,5,6.71611e+06,5.42766e+06,6.73447e+06,3.86848e+09,3800,155.406,166,167,167,333,5459,41,1
mutex/scalar,mutex,scalar,1,24,24,576,109619,5,1.09536e+06,1.09029e+06,1.09916e+06,6.30928e+08,3800,949.156,917,959,1125,7833,9125,41,0
mutex/scalar,mutex,scalar,2,24,24,576,33486,5,335856,331815,339594,1.93453e+08,3800,3353.45,3042,4125,7666,18334,25917,41,0
mutex/scalar,mutex,scalar,4,24,24,576,11004,5,112004,109942,113599,6.45144e+07,3800,8807.76,8208,12042,20292,24625,27250,41,0
mutex/scalar,mutex,scalar,6,24,24,576,6263,5,60156.5,60005.1,61173.6,3.46501e+07,3800,16412.5,14125,25125,31500,42667,53833,41,0
mutex/scalar,mutex,scalar,8,24,24,576,3697,5,37161.3,36165.8,37502.1,2.14049e+07,3800,26934.1,27167,36333,50667,66584,75333,41,0
mutex/scalar,mutex,scalar,10,24,24,576,2863,5,29128.2,28048.8,29504.9,1.67779e+07,3800,36007.3,33875,51667,70542,97083,125458,41,0
mutex/bitslice,mutex,bitslice,1,24,24,576,620082,5,6.15636e+06,6.11471e+06,6.17921e+06,3.54607e+09,3800,167.719,167,167,209,250,334,41,1
mutex/bitslice,mutex,bitslice,2,24,24,576,39590,5,432409,420886,437808,2.49068e+08,3800,2305.18,2167,2791,5042,7833,14000,41,0
mutex/bitslice,mutex,bitslice,4,24,24,576,11703,5,117421,114563,117707,6.76342e+07,3800,8479.56,8292,11708,19042,27500,31417,41,0
mutex/bitslice,mutex,bitslice,6,24,24,576,6653,5,64681.4,63089.8,65183.5,3.72565e+07,3800,15563.5,13708,24334,31750,48666,55542,41,0
mutex/bitslice,mutex,bitslice,8,24,24,576,3750,5,37481.4,37397.7,38081.1,2.15893e+07,3800,26710.4,26792,37250,52292,63709,68542,41,0
mutex/bitslice,mutex,bitslice,10,24,24,576,2919,5,28941.9,28658.9,29485.3,1.66705e+07,3800,34025.4,31667,50208,70667,83916,99167,41,0
barrier/scalar,barrier,scalar,1,24,24,576,106802,5,1.07148e+06,1.06864e+06,1.07508e+06,6.17173e+08,3800,931.294,917,959,1000,1084,1084,41,0
barrier/scalar,barrier,scalar,2,24,24,576,155103,5,1.64141e+06,1.52305e+06,1.67964e+06,9.45453e+08,3800,628.607,625,625,667,7625,14459,41,0
barrier/scalar,barrier,scalar,4,24,24,576,113326,5,1.13473e+06,1.11178e+06,1.16262e+06,6.53602e+08,3800,881.513,875,917,959,1084,2375,41,0
barrier/scalar,barrier,scalar,6,24,24,576,105676,5,1.04451e+06,1.00832e+06,1.0852e+06,6.01636e+08,3800,904.32,916,959,1000,6333,12375,41,0
barrier/scalar,barrier,scalar,8,24,24,576,64146,5,630144,582791,673263,3.62963e+08,3800,1485,1417,1625,2625,15458,27417,41,0
barrier/scalar,barrier,scalar,10,24,24,576,36743,5,430037,399461,486359,2.47701e+08,3800,1970.37,1583,1792,13125,23542,32125,41,0
barrier/bitslice,barrier,bitslice,1,24,24,576,582984,5,5.82036e+06,5.70329e+06,5.88034e+06,3.35253e+09,3800,193.728,167,209,250,4625,15958,41,1
barrier/bitslice,barrier,bitslice,2,24,24,576,318329,5,3.26724e+06,1.98991e+06,4.46552e+06,1.88193e+09,3800,480.888,584,708,834,1000,12500,41,0
barrier/bitslice,barrier,bitslice,4,24,24,576,109741,5,1.3888e+06,1.20273e+06,1.41989e+06,7.99946e+08,3800,785.943,709,834,1167,11292,30708,41,0
barrier/bitslice,barrier,bitslice,6,24,24,576,106544,5,1.19473e+06,1.03913e+06,1.2525e+06,6.88165e+08,3800,832.083,833,875,1083,1208,10125,41,0
barrier/bitslice,barrier,bitslice,8,24,24,576,64107,5,691995,559163,742597,3.98589e+08,3800,1427.82,1333,1542,1875,18250,52583,41,0
barrier/bitslice,barrier,bitslice,10,24,24,576,34864,5,564913,435423,586880,3.2539e+08,3800,1690.99,1500,1667,11541,17500,22375,41,0
atomic/scalar,atomic,scalar,1,24,24,576,110511,5,1.09614e+06,1.08376e+06,1.10073e+06,6.31375e+08,3800,932.862,917,958,1166,4875,13792,41,0
atomic/scalar,atomic,scalar,2,24,24,576,161481,5,1.6607e+06,1.53864e+06,1.72636e+06,9.56565e+08,3800,600.987,584,625,750,792,917,41,0
atomic/scalar,atomic,scalar,4,24,24,576,125932,5,1.34197e+06,1.2566e+06,1.35296e+06,7.72973e+08,3800,811.009,791,917,958,10083,17292,41,0
atomic/scalar,atomic,scalar,6,24,24,576,122865,5,1.21375e+06,1.12148e+06,1.37972e+06,6.9912e+08,3800,654.32,625,667,792,4167,5292,41,0
atomic/scalar,atomic,scalar,8,24,24,576,7103,5,99159.6,44077.7,114258,5.71159e+07,3800,12006.7,12584,28291,35417,38875,41792,41,0
atomic/scalar,atomic,scalar,10,24,24,576,4577,5,61588.7,49513.2,69787.9,3.54751e+07,3800,24374.4,23416,33750,41667,45916,49041,41,0
atomic/bitslice,atomic,bitslice,1,24,24,576,641837,5,6.35044e+06,6.33174e+06,6.4183e+06,3.65785e+09,3800,161.502,167,167,167,292,292,41,1
atomic/bitslice,atomic,bitslice,2,24,24,576,319502,5,3.7245e+06,3.04311e+06,3.76483e+06,2.14531e+09,3800,224.978,208,250,292,6792,13125,41,1
atomic/bitslice,atomic,bitslice,4,24,24,576,163067,5,1.63851e+06,1.46293e+06,1.72497e+06,9.43782e+08,3800,581.009,625,667,709,750,750,41,0
atomic/bitslice,atomic,bitslice,6,24,24,576,159050,5,1.48222e+06,724708,1.64006e+06,8.53759e+08,3800,569.572,583,667,667,709,750,41,0
atomic/bitslice,atomic,bitslice,8,24,24,576,7090,5,110578,88171.7,166111,6.36931e+07,3800,6696.55,833,22292,34209,39250,48125,41,0
atomic/bitslice,atomic,bitslice,10,24,24,576,4420,5,43805.5,42673.9,61881,2.52319e+07,3800,24007.3,22583,36042,45375,48083,61458,41,0
serial/scalar,serial,scalar,1,32,32,1024,61768,5,622260,619565,626648,6.37194e+08,3800,1605.7,1584,1625,1709,5833,6625,41,0
serial/bitslice,serial,bitslice,1,32,32,1024,512525,5,5.09998e+06,4.86166e+06,5.1283e+06,5.22238e+09,3800,516.086,500,542,625,12166,100375,41,0
mutex/scalar,mutex,scalar,1,32,32,1024,46642,5,624682,620884,626181,6.39674e+08,3800,1643.56,1625,1667,2000,5292,14834,41,0
mutex/scalar,mutex,scalar,2,32,32,1024,27250,5,254750,237324,271635,2.60864e+08,3800,3966.47,3958,4333,6750,18959,24291,41,0
mutex/scalar,mutex,scalar,4,32,32,1024,10872,5,107895,105479,109762,1.10485e+08,3800,9014.54,8208,12833,20125,23250,26333,41,0
mutex/scalar,mutex,scalar,6,32,32,1024,5970,5,58988.1,53350.6,59330.6,6.04038e+07,3800,17065.3,15042,25000,32250,42375,47042,41,0
mutex/scalar,mutex,scalar,8,32,32,1024,3629,5,34790.8,33329,37694.2,3.56258e+07,3800,26924.3,26625,37583,53125,64916,79500,41,0
mutex/scalar,mutex,scalar,10,32,32,1024,2876,5,28364.9,27379.7,28950.2,2.90456e+07,3800,36664.6,34583,53291,72500,84250,100958,41,0
mutex/bitslice,mutex,bitslice,1,32,32,1024,480690,5,4.78364e+06,4.73939e+06,4.80016e+06,4.89845e+09,3800,233.004,209,291,333,417,13916,41,1
mutex/bitslice,mutex,bitslice,2,32,32,1024,44047,5,435394,432738,444411,4.45843e+08,3800,2278.37,2167,2584,4708,10500,15000,41,0
mutex/bitslice,mutex,bitslice,4,32,32,1024,11574,5,117857,115356,118091,1.20686e+08,3800,8423.11,8250,11750,17917,22417,32625,41,0
mutex/bitslice,mutex,bitslice,6,32,32,1024,6576,5,65921.2,59960.4,66179.5,6.75033e+07,3800,15851.4,13708,25208,33834,47292,52375,41,0
mutex/bitslice,mutex,bitslice,8,32,32,1024,3773,5,35057.1,34753.3,36578,3.58984e+07,3800,27375.9,27125,38083,54042,67166,99334,41,0
mutex/bitslice,mutex,bitslice,10,32,32,1024,2971,5,27976.5,23162.7,29189.2,2.8648e+07,3800,38421,36125,56750,77334,99917,102750,41,0
barrier/scalar,barrier,scalar,1,32,32,1024,61501,5,617292,605221,618248,6.32107e+08,3800,1626.91,1625,1625,1792,1834,14250,41,0
barrier/scalar,barrier,scalar,2,32,32,1024,99229,5,1.04518e+06,1.00407e+06,1.05441e+06,1.07026e+09,3800,1761.32,1833,1875,1917,5583,25208,41,0
barrier/scalar,barrier,scalar,4,32,32,1024,93808,5,939266,924893,949937,9.61808e+08,3800,1148.14,1083,1167,1542,12417,39459,41,0
barrier/scalar,barrier,scalar,6,32,32,1024,86295,5,778013,457329,843867,7.96686e+08,3800,1794.06,1167,1625,12208,29750,47375,41,0
barrier/scalar,barrier,scalar,8,32,32,1024,53592,5,539267,420510,612139,5.52209e+08,3800,2580.32,1541,1792,21583,64125,79125,41,0
barrier/scalar,barrier,scalar,10,32,32,1024,15531,5,431641,230078,464547,4.42001e+08,3800,2287.55,1625,1958,15125,38583,59750,41,0
barrier/bitslice,barrier,bitslice,1,32,32,1024,452814,5,4.60464e+06,4.54532e+06,4.6128e+06,4.71515e+09,3800,224.002,209,250,250,333,334,41,1
barrier/bitslice,barrier,bitslice,2,32,32,1024,291252,5,3.8394e+06,3.254e+06,4.22405e+06,3.93155e+09,3800,250.68,250,250,292,375,417,41,1
barrier/bitslice,barrier,bitslice,4,32,32,1024,141819,5,1.426e+06,1.32011e+06,1.47189e+06,1.46022e+09,3800,716.195,708,792,834,917,7541,41,0
barrier/bitslice,barrier,bitslice,6,32,32,1024,97733,5,761278,711633,946010,7.79549e+08,3800,1284.76,916,1250,11459,36875,280292,41,0
barrier/bitslice,barrier,bitslice,8,32,32,1024,50464,5,570912,346620,589804,5.84614e+08,3800,2391.36,1291,1750,21416,35875,50709,41,0
barrier/bitslice,barrier,bitslice,10,32,32,1024,35170,5,350311,306517,479543,3.58719e+08,3800,6223.43,6834,12250,22875,37542,66291,41,0
atomic/scalar,atomic,scalar,1,32,32,1024,61910,5,630729,628996,633538,6.45867e+08,3800,1605.16,1584,1625,1750,1750,3958,41,0
atomic/scalar,atomic,scalar,2,32,32,1024,103943,5,1.09277e+06,1.03963e+06,1.09697e+06,1.11899e+09,3800,979.704,958,959,1167,9250,32334,41,0
atomic/scalar,atomic,scalar,4,32,32,1024,108879,5,1.07347e+06,1.01349e+06,1.10438e+06,1.09924e+09,3800,955.055,958,1084,1125,1166,1167,41,0
atomic/scalar,atomic,scalar,6,32,32,1024,106492,5,1.14452e+06,1.09592e+06,1.16663e+06,1.17199e+09,3800,1090.76,875,959,12042,18709,41834,41,0
atomic/scalar,atomic,scalar,8,32,32,1024,4606,5,107386,62735.9,138710,1.09963e+08,3800,1941.17,1125,1167,27917,36750,42458,41,0
atomic/scalar,atomic,scalar,10,32,32,1024,5351,5,45416.9,39978.8,52837.7,4.65069e+07,3800,24757.6,23375,36709,46292,50625,61500,41,0
atomic/bitslice,atomic,bitslice,1,32,32,1024,490280,5,4.93843e+06,4.92965e+06,4.94474e+06,5.05696e+09,3800,209.386,208,209,250,250,375,41,1
atomic/bitslice,atomic,bitslice,2,32,32,1024,486160,5,4.37213e+06,4.10288e+06,4.8459e+06,4.47706e+09,3800,245.362,250,250,250,4625,5209,41,1
atomic/bitslice,atomic,bitslice,4,32,32,1024,172395,5,1.69004e+06,1.52849e+06,1.74285e+06,1.7306e+09,3800,519.112,542,625,625,709,4959,41,0
atomic/bitslice,atomic,bitslice,6,32,32,1024,97085,5,1.38899e+06,1.08596e+06,1.60113e+06,1.42233e+09,3800,816.93,583,584,11584,27959,37708,41,0
atomic/bitslice,atomic,bitslice,8,32,32,1024,20866,5,185960,93225.1,251636,1.90423e+08,3800,776.371,791,875,959,1041,2375,41,0
atomic/bitslice,atomic,bitslice,10,32,32,1024,4485,5,44039.2,42844.1,62656.1,4.50962e+07,3800,14700.7,17542,30041,39958,44583,66250,41,0
serial/scalar,serial,scalar,1,64,64,4096,15852,5,157018,155280,158858,6.43146e+08,3800,6377.26,6291,6417,7916,11833,38375,41,0
serial/bitslice,serial,bitslice,1,64,64,4096,245865,5,2.46566e+06,2.4651e+06,2.47095e+06,1.00994e+10,3800,409.857,417,417,459,500,542,41,0
mutex/scalar,mutex,scalar,1,64,64,4096,15941,5,159285,158773,159670,6.52433e+08,3800,6291.5,6250,6333,6500,9375,19667,41,0
mutex/scalar,mutex,scalar,2,64,64,4096,9641,5,96950.9,95127,98281.6,3.97111e+08,3800,10594.6,10542,10875,13917,18209,34542,41,0
mutex/scalar,mutex,scalar,4,64,64,4096,9159,5,90794.7,90711.6,91600,3.71895e+08,3800,11250.1,10334,13958,23167,49375,81708,41,0
mutex/scalar,mutex,scalar,6,64,64,4096,5487,5,54902.2,54859.7,54959.1,2.24879e+08,3800,18284.9,16292,25792,31917,47417,64542,41,0
mutex/scalar,mutex,scalar,8,64,64,4096,3485,5,34755,34353.5,35571.7,1.42356e+08,3800,28549.9,28208,38750,54375,68125,78083,41,0
mutex/scalar,mutex,scalar,10,64,64,4096,2578,5,25359.3,24734.8,26718,1.03872e+08,3800,37996.8,35625,54375,74167,88042,104542,41,0
mutex/bitslice,mutex,bitslice,1,64,64,4096,236480,5,2.35064e+06,2.30611e+06,2.35616e+06,9.62822e+09,3800,428.026,417,458,500,541,10000,41,0
mutex/bitslice,mutex,bitslice,2,64,64,4096,37705,5,395833,376081,404229,1.62133e+09,3800,2741.62,2375,3667,6708,13084,28791,41,0
mutex/bitslice,mutex,bitslice,4,64,64,4096,10948,5,110618,109014,115122,4.53092e+08,3800,8674.07,8292,12166,19875,24833,27708,41,0
mutex/bitslice,mutex,bitslice,6,64,64,4096,5939,5,63381.6,57271.2,64475.5,2.59611e+08,3800,15462.1,13584,24416,30792,44041,51792,41,0
mutex/bitslice,mutex,bitslice,8,64,64,4096,3701,5,36798.3,36700.6,37456.1,1.50726e+08,3800,27145,27083,37875,53542,67416,72166,41,0
mutex/bitslice,mutex,bitslice,10,64,64,4096,2790,5,29083.6,27907.7,33699.7,1.19127e+08,3800,35700.3,33542,53083,73292,86375,101208,41,0
barrier/scalar,barrier,scalar,1,64,64,4096,15822,5,157437,154942,158009,6.4486e+08,3800,6349.69,6292,6333,7458,16292,26000,41,0
barrier/scalar,barrier,scalar,2,64,64,4096,29902,5,283502,277184,297951,1.16122e+09,3800,3366.9,3333,3375,4167,11125,24125,41,0
barrier/scalar,barrier,scalar,4,64,64,4096,43045,5,429465,424077,431296,1.75909e+09,3800,2290.84,2250,2375,2708,10875,19542,41,0
barrier/scalar,barrier,scalar,6,64,64,4096,49489,5,523753,508824,540757,2.14529e+09,3800,1919.89,1875,2042,2166,7666,12292,41,0
barrier/scalar,barrier,scalar,8,64,64,4096,32368,5,271953,265632,280431,1.11392e+09,3800,3937.87,2917,3208,26459,57833,104875,41,0
barrier/scalar,barrier,scalar,10,64,64,4096,18604,5,160063,141290,210598,6.55616e+08,3800,3021.37,2584,2709,14000,20208,32292,41,0
barrier/bitslice,barrier,bitslice,1,64,64,4096,232451,5,2.32032e+06,2.30955e+06,2.32715e+06,9.50405e+09,3800,435.68,417,459,500,583,11916,41,0
barrier/bitslice,barrier,bitslice,2,64,64,4096,214924,5,2.07704e+06,1.89126e+06,2.71633e+06,8.50755e+09,3800,367.632,375,375,375,458,500,41,1
barrier/bitslice,barrier,bitslice,4,64,64,4096,129287,5,1.33739e+06,1.29163e+06,1.35846e+06,5.47794e+09,3800,748.871,709,833,875,2541,11209,41,0
barrier/bitslice,barrier,bitslice,6,64,64,4096,112858,5,1.06834e+06,1.04298e+06,1.14588e+06,4.37591e+09,3800,856.107,833,959,1042,3667,9750,41,0
barrier/bitslice,barrier,bitslice,8,64,64,4096,59751,5,600902,541028,614451,2.46129e+09,3800,1482.34,1375,1625,2625,23292,55708,41,0
